L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.823591,0.969611,0.972376,0.923521,0.83926,1.0188,1.035766,1.004067,0.532544,0.538318,0.581022,0.61574,0.445431,0.471853,0.437362,0.38965,0.189902,0.073926,0.072021,0.081103,0.073943,0.061952,0.060188,0.043841
0.829698,0.978252,0.981079,0.931986,0.836172,1.015695,1.032652,1.000921,0.533073,0.53901,0.581702,0.616388,0.445427,0.471823,0.437337,0.389614,0.185157,0.072526,0.070794,0.07888,0.073963,0.061937,0.060137,0.043802
0.835892,0.986941,0.989836,0.940526,0.833073,1.012595,1.02954,0.997774,0.533618,0.5397,0.582379,0.617044,0.445436,0.471792,0.437312,0.389578,0.18039,0.071168,0.069612,0.076696,0.073981,0.061924,0.060086,0.043762
0.842165,0.995665,0.998632,0.949135,0.829962,1.009499,1.026429,0.994627,0.534173,0.54038,0.583047,0.617706,0.445457,0.471759,0.437286,0.389542,0.175616,0.069855,0.06848,0.074563,0.073999,0.061914,0.060034,0.043722
0.848513,1.004413,1.007459,0.957806,0.826839,1.006408,1.02332,0.99148,0.534737,0.541043,0.583699,0.618371,0.445491,0.471724,0.437261,0.389508,0.170854,0.068592,0.067405,0.07249,0.074017,0.061904,0.059982,0.043683
0.854934,1.013173,1.016305,0.966534,0.823703,1.003322,1.020212,0.988333,0.535315,0.541683,0.584329,0.619035,0.445536,0.471689,0.437236,0.389474,0.166119,0.067384,0.06639,0.070483,0.074036,0.061897,0.059928,0.043644
0.861431,1.021934,1.025161,0.975311,0.820556,1.00024,1.017105,0.985186,0.535912,0.542292,0.58493,0.619693,0.445593,0.471653,0.437211,0.389443,0.16143,0.066234,0.06544,0.06855,0.074058,0.06189,0.059874,0.043605
0.868003,1.030685,1.03402,0.984134,0.8174,0.997161,1.013999,0.982039,0.536531,0.542863,0.585493,0.620341,0.44566,0.471617,0.437187,0.389412,0.156802,0.065149,0.06456,0.066697,0.074083,0.061884,0.05982,0.043567
0.874651,1.039417,1.042873,0.992995,0.814235,0.994084,1.010894,0.978892,0.537176,0.54339,0.586013,0.620972,0.445736,0.471581,0.437162,0.389384,0.15225,0.064131,0.063753,0.064928,0.074111,0.061877,0.059765,0.043529
0.881372,1.048123,1.051714,1.001891,0.811063,0.991007,1.007787,0.975746,0.53785,0.543867,0.586482,0.621583,0.445821,0.471546,0.437138,0.389356,0.147786,0.063189,0.063024,0.063249,0.074143,0.061869,0.059709,0.043493
0.888162,1.056794,1.060537,1.010816,0.807885,0.987927,1.004679,0.972601,0.538558,0.544288,0.586894,0.622169,0.445912,0.471514,0.437113,0.389331,0.143423,0.062326,0.062377,0.061666,0.074179,0.061857,0.059653,0.043457
0.895016,1.065423,1.069335,1.019765,0.804703,0.984843,1.001569,0.969457,0.539302,0.544649,0.587243,0.622724,0.446009,0.471485,0.437088,0.389306,0.139169,0.06155,0.061818,0.060182,0.074219,0.061841,0.059596,0.043422
0.90193,1.074006,1.078103,1.028731,0.801519,0.981752,0.998455,0.966314,0.540084,0.544947,0.587525,0.623243,0.446108,0.471461,0.437062,0.389283,0.135031,0.060867,0.06135,0.058803,0.074263,0.061817,0.059538,0.043387
0.908897,1.082535,1.086834,1.037706,0.798336,0.978652,0.995339,0.963173,0.540904,0.545178,0.587736,0.623722,0.446208,0.471444,0.437035,0.389261,0.131014,0.060285,0.06098,0.057535,0.074311,0.061785,0.059479,0.043352
0.915912,1.091005,1.095523,1.046684,0.795155,0.975542,0.992219,0.960033,0.541761,0.545342,0.587873,0.624155,0.446307,0.471435,0.437006,0.38924,0.127123,0.05981,0.060714,0.056384,0.074362,0.061742,0.059419,0.043316
0.92297,1.099412,1.104164,1.055653,0.79198,0.972421,0.989097,0.956895,0.542652,0.545435,0.587933,0.624538,0.446402,0.471435,0.436974,0.38922,0.123361,0.05945,0.060558,0.055356,0.074415,0.061688,0.059359,0.043279
0.930063,1.107749,1.112751,1.064603,0.788811,0.969288,0.985974,0.95376,0.543573,0.545458,0.587914,0.624864,0.44649,0.471444,0.43694,0.3892,0.119731,0.059212,0.060519,0.054458,0.074472,0.061624,0.059299,0.04324
0.937181,1.11601,1.121275,1.073526,0.785651,0.966145,0.98285,0.950626,0.54452,0.545407,0.587814,0.625129,0.446572,0.47146,0.436901,0.389181,0.116235,0.059102,0.060604,0.053696,0.074531,0.061551,0.059238,0.043197
